MW,1325,1525,47
MW,1025,1175,47
TTh,1100,1300,36
MW,1325,1525,24
MW,875,1075,20
TTh,1550,1750,30
TTh,1100,1300,30
TTh,1550,1750,30
MWF,1175,1325,16
TTh,875,1075,19
TTh,875,1075,13
MWF,1175,1325,14
MW,1325,1525,29
MW,875,1075,15
MW,1550,1750,47
MW,1175,1300,47
TTh,875,1075,22
MW,1550,1750,24
TTh,1325,1525,30
F,1100,1525,5
TTh,875,1075,30
TTh,875,1075,30
MW,875,1075,23
MW,875,1075,9
MW,875,1075,8
TTh,1100,1300,30
F,1100,1525,6
TTh,1325,1525,36
MW,875,1075,4
F,1100,1300,23
F,1100,1300,3
F,1325,1525,19
F,1100,1300,20
MTWTh,950,1300,19
T,1775,1975,24
Th,1775,1975,3
F,1100,1300,11
TTh,1550,1750,25
MW,1550,1750,11
TTh,1550,1750,10
MW,1100,1300,24
TTh,875,1075,24
TTh,1100,1300,21
MWF,875,1025,23
MW,1025,1150,23
MW,1325,1525,15
MW,1325,1525,18
MW,1550,1750,23
TTh,875,1075,23
TTh,1100,1300,24
TTh,1325,1525,24
TTh,1775,1975,22
MW,1325,1525,10
MW,1325,1525,5
MW,1550,1750,24
TTh,1100,1300,22
MW,875,1075,22
MW,1100,1300,24
W,1325,1525,26
MW,1775,1975,23
TTh,875,1075,23
TTh,1100,1300,25
TTh,1325,1525,23
TTh,1550,1750,22
F,875,1075,8
F,1100,1300,8
F,1100,1300,8
F,1325,1525,8
MW,1775,1975,26
TTh,1550,1750,29
TThF,1100,1300,32
MW,1100,1300,30
MWF,1325,1525,30
MW,875,1075,39
TTh,1550,1750,25
MW,875,1075,44
TTh,1325,1525,40
MW,1325,1525,38
MW,1100,1300,38
MW,1325,1525,40
MW,1550,1750,38
TTh,1550,1750,35
MW,1550,1750,30
MW,1775,1975,37
TTh,875,1075,18
TTh,1100,1300,38
TTh,1325,1525,44
MW,875,1075,42
MW,1325,1525,42
TTh,1100,1300,43
TTh,1550,1750,42
TTh,1775,1975,39
MW,1325,1525,25
MW,1775,1975,30
TTh,875,1075,31
TTh,1325,1525,28
TTh,1775,1975,9
MW,1100,1300,40
MW,1550,1750,40
TTh,875,1075,41
TTh,1325,1525,43
TTh,2000,2200,32
MW,1325,1525,42
MW,1775,1975,41
TTh,1100,1300,44
TTh,1325,1525,44
TTh,2000,2200,40
TTh,1100,1300,42
TTh,1775,1975,27
MW,1775,1975,46
MW,1325,1525,41
MW,2000,2200,41
MW,875,1075,40
MW,1550,1750,28
MW,1325,1525,36
MW,1775,1975,11
TTh,1550,1750,46
TTh,1325,1525,44
TTh,1775,1975,43
MW,1550,1750,27
MW,1550,1750,30
MW,1100,1300,42
TTh,1325,1525,42
TTh,1775,1975,30
TTh,875,1075,37
MW,875,1075,40
MW,1100,1300,43
MW,875,1075,43
MW,2000,2200,30
TTh,1100,1300,38
MW,1100,1300,40
MW,1550,1750,28
TTh,1550,1750,40
TTh,1775,1975,44
MW,1325,1525,22
MW,1550,1750,15
MW,1100,1300,18
TTh,1325,1525,24
W,1800,2150,36
Th,1800,2150,13
M,1800,2150,34
T,1800,2150,21
W,1800,2150,38
Th,1800,2150,24
M,1800,2150,27
T,1800,2150,13
Sat.,900,1250,13
MW,1250,1450,25
MW,1775,1975,12
F,900,1350,17
MW,1475,1675,22
MW,2000,2200,14
Sat.,900,1350,28
MW,1300,1500,34
MW,1775,1975,19
MW,2000,2200,16
MW,1775,1975,36
MW,1550,1750,35
MW,875,1075,39
TTh,1550,1750,25
MW,875,1075,44
TTh,1325,1525,40
MW,1325,1525,38
MW,1100,1300,38
MW,1325,1525,40
MW,1550,1750,38
TTh,1550,1750,35
MW,1550,1750,30
MW,1775,1975,37
TTh,875,1075,18
TTh,1100,1300,38
TTh,1325,1525,44
MW,875,1075,42
MW,1325,1525,42
TTh,1100,1300,43
TTh,1550,1750,42
TTh,1775,1975,39
MW,1325,1525,25
MW,1775,1975,30
TTh,875,1075,31
TTh,1325,1525,28
TTh,1775,1975,9
MW,1100,1300,40
MW,1550,1750,40
TTh,875,1075,41
TTh,1325,1525,43
TTh,2000,2200,32
MW,1325,1525,42
MW,1775,1975,41
TTh,1100,1300,44
