0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
16,0,10,0,0
22,176,10,150,66
2012,1851,1984,1804,765
2046,1931,2018,1860,806
2046,1931,2018,1860,806
2107,1950,2103,1945,922
2107,1950,2103,1945,922
1979,1961,1975,1956,778
2141,1948,2137,1943,879
2121,1948,2117,1943,853
366,279,378,339,706
2121,2140,2076,2162,1047
2129,2140,2089,2162,942
1933,2140,1893,2162,889
2097,2132,2057,2161,1005
2097,2132,2057,2161,1036
2118,2172,2079,2183,1036
2143,2115,2144,2007,1110
2137,2084,2144,2002,1051
310,224,374,180,478
2297,2260,2389,2308,779
2297,2260,2408,2324,762
2319,2260,2429,2324,762
2319,2280,2429,2344,602
2303,2280,2429,2344,618
2346,2280,2404,2344,683
2341,2280,2399,2344,652
2288,2219,2346,2325,640
193,180,221,326,439
2290,1715,2292,1858,423
2268,1715,2271,1858,375
2213,1691,2147,1770,274
2213,1691,2127,1788,274
2221,1691,2127,1788,274
2199,1691,2107,1788,274
2199,1671,2107,1768,194
2196,1590,2107,1653,66
58,42,17,20,33
1568,1509,1476,1369,33
1797,1605,1744,1513,33
1797,1605,1744,1513,33
1797,1605,1744,1493,33
1797,1585,1744,1493,33
1777,1585,1727,1493,33
1777,1567,1727,1475,33
1777,1567,1727,1475,33
272,256,243,192,33
858,803,880,739,0
818,803,880,739,0
780,803,880,729,0
780,803,870,719,0
780,803,870,719,0
780,803,870,719,0
597,665,648,575,0
597,595,648,575,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
